,w_star,method,function,N
246,-0.4046469293,MLE,0,25
247,-0.3480503618,SAA,0,25
248,-0.4138860525,KDE,0,25
249,-0.33064676239999996,Bayesian,0,25
250,-0.1456181565,Bagging,0,50
251,-0.1646244316,MLE,0,50
252,-0.15196989449999998,SAA,0,50
253,-0.194984031,KDE,0,50
254,-0.1455669188,Bayesian,0,50
255,-0.0700593282,Bagging,0,10
256,0.11954535220000001,MLE,0,10
257,-0.0655510628,SAA,0,10
258,-0.1471819043,KDE,0,10
259,-0.0737369868,Bayesian,0,10
260,-0.147952824,Bagging,0,25
261,-0.1763644021,MLE,0,25
262,-0.1527705191,SAA,0,25
263,-0.2104703796,KDE,0,25
264,-0.1258623459,Bayesian,0,25
265,-0.12196317710000001,Bagging,0,50
266,-0.1357959255,MLE,0,50
267,-0.12478995529999999,SAA,0,50
268,-0.1595729635,KDE,0,50
269,-0.1201251748,Bayesian,0,50
270,-0.21010918280000002,Bagging,0,10
271,-0.210894831,MLE,0,10
272,-0.2098548969,SAA,0,10
273,-0.2957965104,KDE,0,10
274,-0.2487261931,Bayesian,0,10
275,-0.0479207796,Bagging,0,25
276,-0.034612441800000004,MLE,0,25
277,-0.0529825346,SAA,0,25
278,-0.0979937706,KDE,0,25
279,-0.0304358426,Bayesian,0,25
280,-0.2602818641,Bagging,0,50
281,-0.3299392773,MLE,0,50
282,-0.2682192334,SAA,0,50
283,-0.3070626415,KDE,0,50
284,-0.3031964571,Bayesian,0,50
285,-0.3195982526,Bagging,0,10
286,-0.1660265125,MLE,0,10
287,-0.34531961170000003,SAA,0,10
288,-0.4675619006,KDE,0,10
289,-0.320888265,Bayesian,0,10
290,-0.16957292059999998,Bagging,0,25
291,-0.1752220131,MLE,0,25
292,-0.17525088100000003,SAA,0,25
293,-0.2295014822,KDE,0,25
294,-0.1567146181,Bayesian,0,25
295,-0.1689995652,Bagging,0,50
296,-0.1703932139,MLE,0,50
297,-0.1637093563,SAA,0,50
298,-0.2045452332,KDE,0,50
299,-0.1559718055,Bayesian,0,50
300,0.1139135034,Bagging,0,10
301,0.17381584149999998,MLE,0,10
302,0.1036490742,SAA,0,10
303,0.047058749299999994,KDE,0,10
304,0.06850194059999999,Bayesian,0,10
305,-0.2571633366,Bagging,0,25
306,-0.25301324129999997,MLE,0,25
307,-0.2627476501,SAA,0,25
308,-0.350930179,KDE,0,25
309,-0.20946141829999998,Bayesian,0,25
310,-0.1125063307,Bagging,0,50
311,-0.1474461087,MLE,0,50
312,-0.11724205619999999,SAA,0,50
313,-0.14651464949999998,KDE,0,50
314,-0.0968889726,Bayesian,0,50
315,-0.18431257280000002,Bagging,0,10
316,-0.2031617843,MLE,0,10
317,-0.2001008078,SAA,0,10
318,-0.326632193,KDE,0,10
319,-0.1452023315,Bayesian,0,10
320,-0.214479055,Bagging,0,25
321,-0.1052798583,MLE,0,25
322,-0.2203403652,SAA,0,25
323,-0.29773891129999996,KDE,0,25
324,-0.2019405121,Bayesian,0,25
325,-0.2519569266,Bagging,0,50
326,-0.2787343954,MLE,0,50
327,-0.2431819749,SAA,0,50
328,-0.2917537692,KDE,0,50
329,-0.22042724739999997,Bayesian,0,50
330,-0.4457179816,Bagging,0,10
331,-0.621390731,MLE,0,10
332,-0.4402969162,SAA,0,10
333,-0.52597595,KDE,0,10
334,-0.43397381770000004,Bayesian,0,10
335,-0.2302918485,Bagging,0,25
336,-0.189783025,MLE,0,25
337,-0.21871997969999998,SAA,0,25
338,-0.2688985995,KDE,0,25
339,-0.238145585,Bayesian,0,25
340,-0.0489274928,Bagging,0,50
341,-0.0583415568,MLE,0,50
342,-0.056174994400000004,SAA,0,50
343,-0.09274936199999999,KDE,0,50
344,-0.0627952133,Bayesian,0,50
345,-0.26485928420000004,Bagging,0,10
346,-0.3183405536,MLE,0,10
347,-0.28263817059999996,SAA,0,10
348,-0.44257821950000004,KDE,0,10
349,-0.2136960979,Bayesian,0,10
350,-0.4191143101,Bagging,0,25
351,-0.4013420707,MLE,0,25
352,-0.4259698349,SAA,0,25
353,-0.4984106865,KDE,0,25
354,-0.3731858878,Bayesian,0,25
355,-0.1453437827,Bagging,0,50
356,-0.1776480597,MLE,0,50
357,-0.1523394868,SAA,0,50
358,-0.201752646,KDE,0,50
359,-0.1189979328,Bayesian,0,50
360,-0.3427241941,Bagging,0,10
361,-0.37982539159999995,MLE,0,10
362,-0.3473476152,SAA,0,10
363,-0.39709452170000004,KDE,0,10
364,-0.2906390441,Bayesian,0,10
365,-0.1277030396,Bagging,0,25
366,-0.2050848023,MLE,0,25
367,-0.1320082613,SAA,0,25
368,-0.1944406491,KDE,0,25
369,-0.1050084528,Bayesian,0,25
370,-0.22676736879999998,Bagging,0,50
371,-0.2531213787,MLE,0,50
372,-0.23182603300000001,SAA,0,50
373,-0.28307243390000003,KDE,0,50
374,-0.26321038210000003,Bayesian,0,50
375,0.16531206880000002,Bagging,0,10
376,0.135926952,MLE,0,10
377,0.1499567708,SAA,0,10
378,0.0725423135,KDE,0,10
379,0.1552365393,Bayesian,0,10
380,-0.19325441149999997,Bagging,0,25
381,-0.2152556209,MLE,0,25
382,-0.20261908120000002,SAA,0,25
383,-0.2757827262,KDE,0,25
384,-0.2599889734,Bayesian,0,25
385,-0.20989238100000002,Bagging,0,50
386,-0.22889335460000002,MLE,0,50
387,-0.20546536489999997,SAA,0,50
388,-0.24593307829999997,KDE,0,50
389,-0.1961383385,Bayesian,0,50
390,-0.36469154299999995,Bagging,0,10
391,-0.3604763735,MLE,0,10
392,-0.3702663439,SAA,0,10
393,-0.4241977435,KDE,0,10
394,-0.36808145600000003,Bayesian,0,10
395,-0.2853399479,Bagging,0,25
396,-0.3568061975,MLE,0,25
397,-0.2818248286,SAA,0,25
398,-0.3351190715,KDE,0,25
399,-0.252258907,Bayesian,0,25
400,-0.2100352955,Bagging,0,50
401,-0.25607731489999996,MLE,0,50
402,-0.2158891544,SAA,0,50
403,-0.2535673677,KDE,0,50
404,-0.22439350730000002,Bayesian,0,50
405,-0.3311775514,Bagging,0,10
406,-0.4740968147,MLE,0,10
407,-0.3581717529,SAA,0,10
408,-0.44528506009999996,KDE,0,10
409,-0.3306832316,Bayesian,0,10
410,-0.0423251061,Bagging,0,25
411,-0.0691581889,MLE,0,25
412,-0.0423908854,SAA,0,25
413,-0.10886475609999999,KDE,0,25
414,-0.038367686,Bayesian,0,25
415,-0.2473769108,Bagging,0,50
416,-0.377475215,MLE,0,50
417,-0.2541678766,SAA,0,50
418,-0.297298195,KDE,0,50
419,-0.257382509,Bayesian,0,50
420,-0.19854711989999999,Bagging,0,10
421,-0.2036665209,MLE,0,10
422,-0.20539994820000002,SAA,0,10
423,-0.2792395914,KDE,0,10
424,-0.1839910217,Bayesian,0,10
425,-0.1739387057,Bagging,0,25
426,-0.0823843612,MLE,0,25
427,-0.1775672468,SAA,0,25
428,-0.23962657559999997,KDE,0,25
429,-0.1693933777,Bayesian,0,25
430,-0.11363089039999999,Bagging,0,50
431,-0.1458856698,MLE,0,50
432,-0.1161448861,SAA,0,50
433,-0.1628152485,KDE,0,50
434,-0.1319721838,Bayesian,0,50
435,-0.263467013,Bagging,0,10
436,-0.3506399969,MLE,0,10
437,-0.2751955865,SAA,0,10
438,-0.37322063920000004,KDE,0,10
439,-0.2285263393,Bayesian,0,10
440,-0.2186881776,Bagging,0,25
441,-0.2251724181,MLE,0,25
442,-0.216521245,SAA,0,25
443,-0.2793957581,KDE,0,25
444,-0.179903073,Bayesian,0,25
445,-0.1877637957,Bagging,0,50
446,-0.18319923079999997,MLE,0,50
447,-0.18639744460000002,SAA,0,50
448,-0.22203481989999999,KDE,0,50
449,-0.20670817530000002,Bayesian,0,50
450,-0.1356437217,Bagging,0,10
451,-0.2684705137,MLE,0,10
452,-0.1547102444,SAA,0,10
453,-0.2272375579,KDE,0,10
454,-0.1198454909,Bayesian,0,10
455,-0.31165949719999997,Bagging,0,25
456,-0.2985552834,MLE,0,25
457,-0.31637559460000003,SAA,0,25
458,-0.36828077060000003,KDE,0,25
459,-0.28920494420000004,Bayesian,0,25
460,-0.08560601960000001,Bagging,0,50
461,-0.0815029368,MLE,0,50
462,-0.09144563359999999,SAA,0,50
463,-0.12313386539999999,KDE,0,50
464,-0.0646213486,Bayesian,0,50
465,-0.1475366196,Bagging,0,10
466,-0.18375505120000002,MLE,0,10
467,-0.1791194304,SAA,0,10
468,-0.2711044949,KDE,0,10
469,-0.1904317601,Bayesian,0,10
470,-0.2043209868,Bagging,0,25
471,-0.3107842372,MLE,0,25
472,-0.2188452286,SAA,0,25
473,-0.27950351809999996,KDE,0,25
474,-0.1721697998,Bayesian,0,25
475,-0.2471344189,Bagging,0,50
476,-0.2920296026,MLE,0,50
477,-0.25141225440000003,SAA,0,50
478,-0.2972917952,KDE,0,50
479,-0.2145645018,Bayesian,0,50
480,-0.06818342549999999,Bagging,0,10
481,-0.17233485710000002,MLE,0,10
482,-0.0546701474,SAA,0,10
483,-0.1374671392,KDE,0,10
484,-0.0346313206,Bayesian,0,10
485,-0.1784201702,Bagging,0,25
486,-0.09720347359999999,MLE,0,25
487,-0.18798682760000002,SAA,0,25
488,-0.2325269221,KDE,0,25
489,-0.1864354563,Bayesian,0,25
490,-0.196630742,Bagging,0,50
491,-0.3563239503,MLE,0,50
492,-0.19798421870000002,SAA,0,50
493,-0.2507754475,KDE,0,50
494,-0.19020695510000002,Bayesian,0,50
495,-0.09642202109999999,Bagging,0,10
496,-0.1108635702,MLE,0,10
497,-0.1104169455,SAA,0,10
498,-0.20905777579999998,KDE,0,10
499,-0.1013176408,Bayesian,0,10
500,-0.2478602528,Bagging,0,25
501,-0.1869652112,MLE,0,25
502,-0.252394204,SAA,0,25
503,-0.3061787566,KDE,0,25
504,-0.2549520372,Bayesian,0,25
505,-0.2381441266,Bagging,0,50
506,-0.236925252,MLE,0,50
507,-0.2300582864,SAA,0,50
508,-0.2575215521,KDE,0,50
509,-0.2332977697,Bayesian,0,50
510,-0.10152477119999999,Bagging,0,10
511,-0.1893673573,MLE,0,10
512,-0.1161602886,SAA,0,10
513,-0.17052292510000003,KDE,0,10
514,-0.0967700558,Bayesian,0,10
515,-0.2945763302,Bagging,0,25
516,-0.368494511,MLE,0,25
517,-0.289696005,SAA,0,25
518,-0.3482516143,KDE,0,25
519,-0.27043915809999997,Bayesian,0,25
520,-0.21793153399999998,Bagging,0,50
521,-0.2355863141,MLE,0,50
522,-0.22353982320000002,SAA,0,50
523,-0.2688157654,KDE,0,50
524,-0.2441569523,Bayesian,0,50
525,-0.21539831469999998,Bagging,0,10
526,-0.2274798833,MLE,0,10
527,-0.2357283241,SAA,0,10
528,-0.3833239224,KDE,0,10
529,-0.1254596136,Bayesian,0,10
530,-0.0673759862,Bagging,0,25
531,-0.018271128600000002,MLE,0,25
532,-0.0631660361,SAA,0,25
533,-0.1443393365,KDE,0,25
534,-0.070436348,Bayesian,0,25
535,-0.37230458969999997,Bagging,0,50
536,-0.4343452211,MLE,0,50
537,-0.3792058589,SAA,0,50
538,-0.4184882357,KDE,0,50
539,-0.3831780038,Bayesian,0,50
540,-0.2696486659,Bagging,0,10
541,-0.24599245260000002,MLE,0,10
542,-0.26961994170000003,SAA,0,10
543,-0.313757672,KDE,0,10
544,-0.2292616116,Bayesian,0,10
545,-0.3576890728,Bagging,0,25
546,-0.39479564289999997,MLE,0,25
547,-0.3562910591,SAA,0,25
548,-0.4216360402,KDE,0,25
549,-0.29319785870000004,Bayesian,0,25
550,-0.1265082774,Bagging,0,50
551,-0.0908066656,MLE,0,50
552,-0.1313999424,SAA,0,50
553,-0.1762261716,KDE,0,50
554,-0.13256672519999999,Bayesian,0,50
555,-0.1124290345,Bagging,0,10
556,-0.2186955684,MLE,0,10
557,-0.116204982,SAA,0,10
558,-0.20876070149999998,KDE,0,10
559,-0.0768414905,Bayesian,0,10
560,-0.1778791398,Bagging,0,25
561,-0.3000629224,MLE,0,25
562,-0.1876219254,SAA,0,25
563,-0.2566163192,KDE,0,25
564,-0.2178843472,Bayesian,0,25
565,-0.1876554247,Bagging,0,50
566,-0.2237830384,MLE,0,50
567,-0.20043828760000001,SAA,0,50
568,-0.2574445832,KDE,0,50
569,-0.1836727172,Bayesian,0,50
570,-0.28014126920000004,Bagging,0,10
571,-0.2241671256,MLE,0,10
572,-0.2868961526,SAA,0,10
573,-0.4202053383,KDE,0,10
574,-0.2409929947,Bayesian,0,10
575,-0.1783711425,Bagging,0,25
576,-0.3748042152,MLE,0,25
577,-0.183773178,SAA,0,25
578,-0.23788710940000002,KDE,0,25
579,-0.19453740390000002,Bayesian,0,25
580,-0.1863267938,Bagging,0,50
581,-0.2605683442,MLE,0,50
582,-0.20417406899999999,SAA,0,50
583,-0.25349671890000003,KDE,0,50
584,-0.1963125698,Bayesian,0,50
585,0.0676450376,Bagging,0,10
586,0.23219669739999999,MLE,0,10
587,0.056159008600000004,SAA,0,10
588,-0.024759250099999998,KDE,0,10
589,0.0606076159,Bayesian,0,10
590,-0.0329202975,Bagging,0,25
591,-0.08458005310000001,MLE,0,25
592,-0.0405263123,SAA,0,25
593,-0.0867505277,KDE,0,25
594,-0.0421756975,Bayesian,0,25
595,-0.1382196019,Bagging,0,50
596,-0.20662355079999997,MLE,0,50
597,-0.1442984152,SAA,0,50
598,-0.19865231670000003,KDE,0,50
599,-0.13692088289999998,Bayesian,0,50
600,-0.28418537120000004,Bagging,0,10
601,-0.2711039443,MLE,0,10
602,-0.2884447404,SAA,0,10
603,-0.32253320539999997,KDE,0,10
604,-0.3080472761,Bayesian,0,10
605,-0.0460903396,Bagging,0,25
606,-0.0713013927,MLE,0,25
607,-0.0621957301,SAA,0,25
608,-0.1209654881,KDE,0,25
609,-0.0758887091,Bayesian,0,25
610,-0.0157621984,Bagging,0,50
611,-0.025777244100000003,MLE,0,50
612,-0.0201329277,SAA,0,50
613,-0.049910239599999996,KDE,0,50
614,0.0046868444,Bayesian,0,50
615,-0.3059278268,Bagging,0,10
616,-0.3062313925,MLE,0,10
617,-0.3107639534,SAA,0,10
618,-0.376126236,KDE,0,10
619,-0.2780527231,Bayesian,0,10
620,-0.349722795,Bagging,0,25
621,-0.33304683739999996,MLE,0,25
622,-0.3436924277,SAA,0,25
623,-0.37741657619999996,KDE,0,25
624,-0.332909088,Bayesian,0,25
625,-0.0927238587,Bagging,0,50
626,-0.09842318259999999,MLE,0,50
627,-0.0959573502,SAA,0,50
628,-0.1301122177,KDE,0,50
629,-0.08580849630000001,Bayesian,0,50
630,-0.3452813091,Bagging,0,10
631,-0.2961305513,MLE,0,10
632,-0.34863707369999997,SAA,0,10
633,-0.4213069458,KDE,0,10
634,-0.3330992688,Bayesian,0,10
635,-0.3309291829,Bagging,0,25
636,-0.3748824163,MLE,0,25
637,-0.3243697801,SAA,0,25
638,-0.3848825556,KDE,0,25
639,-0.3401158071,Bayesian,0,25
640,-0.198424811,Bagging,0,50
641,-0.1688855365,MLE,0,50
642,-0.19351758440000003,SAA,0,50
643,-0.2451039168,KDE,0,50
644,-0.1987299418,Bayesian,0,50
645,-0.0345792526,Bagging,0,10
646,-0.119077023,MLE,0,10
647,-0.0417157197,SAA,0,10
648,-0.0627203899,KDE,0,10
649,-0.0834045388,Bayesian,0,10
650,-0.1894631209,Bagging,0,25
651,-0.1625867446,MLE,0,25
652,-0.19959221510000003,SAA,0,25
653,-0.2465643442,KDE,0,25
654,-0.1920773091,Bayesian,0,25
655,-0.0963238125,Bagging,0,50
656,-0.10022216980000001,MLE,0,50
657,-0.09533387539999999,SAA,0,50
658,-0.1326920086,KDE,0,50
659,-0.080473498,Bayesian,0,50
660,-0.0390908627,Bagging,0,10
661,-0.3615035129,MLE,0,10
662,-0.0664075107,SAA,0,10
663,-0.1296681628,KDE,0,10
664,-0.0499709083,Bayesian,0,10
665,-0.0524297165,Bagging,0,25
666,-0.0635119646,MLE,0,25
667,-0.0574843454,SAA,0,25
668,-0.0980590033,KDE,0,25
669,-0.0530172399,Bayesian,0,25
670,-0.2154009546,Bagging,0,50
671,-0.2879635471,MLE,0,50
672,-0.21709206550000001,SAA,0,50
673,-0.2611922246,KDE,0,50
674,-0.2189910983,Bayesian,0,50
675,-0.148093833,Bagging,0,10
676,-0.14725433289999998,MLE,0,10
677,-0.1540241057,SAA,0,10
678,-0.2127337336,KDE,0,10
679,-0.1311430534,Bayesian,0,10
680,-0.1632086718,Bagging,0,25
681,-0.1553423519,MLE,0,25
682,-0.1729630214,SAA,0,25
683,-0.2263382909,KDE,0,25
684,-0.1656098086,Bayesian,0,25
685,-0.1762167661,Bagging,0,50
686,-0.1981902103,MLE,0,50
687,-0.18475913940000002,SAA,0,50
688,-0.23669746940000003,KDE,0,50
689,-0.1726384358,Bayesian,0,50
690,-0.1466852657,Bagging,0,10
691,-0.2903605193,MLE,0,10
692,-0.156180379,SAA,0,10
693,-0.2271989491,KDE,0,10
694,-0.15948096960000002,Bayesian,0,10
695,-0.202961153,Bagging,0,25
696,-0.1933182085,MLE,0,25
697,-0.2005350934,SAA,0,25
698,-0.2462595209,KDE,0,25
699,-0.2135543525,Bayesian,0,25
700,-0.21397426379999998,Bagging,0,50
701,-0.228591723,MLE,0,50
702,-0.2209428019,SAA,0,50
703,-0.2715780225,KDE,0,50
704,-0.20950731179999998,Bayesian,0,50
705,-0.34969525079999997,Bagging,0,10
706,-0.2639019002,MLE,0,10
707,-0.3461166061,SAA,0,10
708,-0.43426621159999995,KDE,0,10
709,-0.26816536469999996,Bayesian,0,10
710,-0.2164489414,Bagging,0,25
711,-0.2025762634,MLE,0,25
712,-0.2134448955,SAA,0,25
713,-0.2538616548,KDE,0,25
714,-0.22365805239999997,Bayesian,0,25
715,-0.0756279721,Bagging,0,50
716,-0.08308006799999999,MLE,0,50
717,-0.0714466996,SAA,0,50
718,-0.1214758574,KDE,0,50
719,-0.0262188698,Bayesian,0,50
720,-0.1748160618,Bagging,0,10
721,-0.3456339819,MLE,0,10
722,-0.1926777958,SAA,0,10
723,-0.3098339516,KDE,0,10
724,-0.1836057538,Bayesian,0,10
725,-0.33777237590000003,Bagging,0,25
726,-0.4054049643,MLE,0,25
727,-0.34467788759999995,SAA,0,25
728,-0.40187899380000003,KDE,0,25
729,-0.3280372974,Bayesian,0,25
730,-0.18442235489999997,Bagging,0,50
731,-0.2141839565,MLE,0,50
732,-0.18904501329999998,SAA,0,50
733,-0.2448396807,KDE,0,50
734,-0.18410679829999999,Bayesian,0,50
