,w_star,method,gamma,N
3997,"[1.12507808e-11 1.15645401e-11 5.94975151e-02 9.40502485e-01
 1.54550841e-11]",Bayesian,0.1,100
3998,"[6.60378291e-13 6.53240635e-14 3.31495255e-02 9.66850475e-01
 4.84529809e-13]",Bayesian,0.1,200
3999,"[8.40993941e-15 1.02695630e-15 0.00000000e+00 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,50
4000,"[0.00000000e+00 0.00000000e+00 2.77555756e-15 1.00000000e+00
 4.35762537e-15]",Bayesian,1.0,100
4001,[4.4408921e-16 0.0000000e+00 0.0000000e+00 1.0000000e+00 0.0000000e+00],Bayesian,1.0,200
4002,"[0.00000000e+00 3.95516953e-16 1.45716772e-16 1.00000000e+00
 0.00000000e+00]",Bayesian,5.0,50
4003,[0.04187111 0.         0.05759469 0.9005342  0.        ],Bayesian,5.0,100
4004,"[1.42545411e-01 0.00000000e+00 6.24500451e-17 8.57454589e-01
 0.00000000e+00]",Bayesian,5.0,200
4005,"[4.39953629e-13 2.26990648e-12 0.00000000e+00 1.00000000e+00
 4.14748791e-12]",Bayesian,0.1,50
4006,[0.         0.         0.02005023 0.97994977 0.        ],Bayesian,0.1,100
4007,"[0.00000000e+00 0.00000000e+00 4.10421697e-13 1.00000000e+00
 0.00000000e+00]",Bayesian,0.1,200
4008,"[3.99273526e-14 3.94536321e-14 8.99822698e-02 9.10017730e-01
 6.37461530e-14]",Bayesian,1.0,50
4009,"[6.38378239e-16 0.00000000e+00 5.82867088e-16 1.00000000e+00
 1.38777878e-15]",Bayesian,1.0,100
4010,"[0.00000000e+00 1.55431223e-15 5.55111512e-16 1.00000000e+00
 3.71924713e-15]",Bayesian,1.0,200
4011,"[2.89140406e-01 0.00000000e+00 1.08256240e-01 6.02603354e-01
 4.14165230e-16]",Bayesian,5.0,50
4012,"[2.41067329e-01 2.96637714e-16 0.00000000e+00 7.58932671e-01
 0.00000000e+00]",Bayesian,5.0,100
4013,"[0.00000000e+00 0.00000000e+00 5.89805982e-17 1.00000000e+00
 1.04083409e-17]",Bayesian,5.0,200
4014,"[1.20309857e-13 1.53098839e-12 3.95453621e-01 6.04546379e-01
 2.96161745e-12]",Bayesian,0.1,50
4015,"[0.00000000e+00 0.00000000e+00 9.40575395e-12 1.00000000e+00
 0.00000000e+00]",Bayesian,0.1,100
4016,[0.         0.         0.07742075 0.92257925 0.        ],Bayesian,0.1,200
4017,"[3.24740235e-15 0.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,50
4018,"[0.00000000e+00 2.55351296e-15 0.00000000e+00 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,100
4019,"[0.00000000e+00 1.66533454e-15 0.00000000e+00 1.00000000e+00
 4.85722573e-15]",Bayesian,1.0,200
4020,"[3.11957207e-01 1.12106505e-16 2.99975783e-02 6.58045215e-01
 7.50267903e-16]",Bayesian,5.0,50
4021,"[8.85208743e-02 0.00000000e+00 1.88750790e-02 8.92604047e-01
 4.14897066e-16]",Bayesian,5.0,100
4022,"[7.76375649e-02 2.94902991e-16 6.24500451e-17 9.22362435e-01
 0.00000000e+00]",Bayesian,5.0,200
4023,[0.0000000e+00 0.0000000e+00 3.9214465e-12 1.0000000e+00 0.0000000e+00],Bayesian,0.1,50
4024,[0.         0.         0.58170297 0.41829703 0.        ],Bayesian,0.1,100
4025,[0.         0.         0.18852172 0.81147828 0.        ],Bayesian,0.1,200
4026,"[7.49400542e-16 0.00000000e+00 0.00000000e+00 1.00000000e+00
 5.27355937e-16]",Bayesian,1.0,50
4027,"[0.00000000e+00 0.00000000e+00 7.49400542e-16 1.00000000e+00
 3.55271368e-15]",Bayesian,1.0,100
4028,"[4.44089210e-16 2.49800181e-16 3.05311332e-16 1.00000000e+00
 2.22044605e-16]",Bayesian,1.0,200
4029,"[2.16672327e-01 0.00000000e+00 0.00000000e+00 7.83327673e-01
 2.16840434e-17]",Bayesian,5.0,50
4030,"[4.18838412e-01 0.00000000e+00 0.00000000e+00 5.81161588e-01
 6.91287305e-16]",Bayesian,5.0,100
4031,"[0.00000000e+00 6.10622664e-16 0.00000000e+00 1.00000000e+00
 2.42861287e-16]",Bayesian,5.0,200
4032,"[1.66971992e-12 6.40870690e-12 0.00000000e+00 1.00000000e+00
 1.14162013e-11]",Bayesian,0.1,50
4033,"[3.79613584e-11 3.96868500e-11 1.23566275e-01 8.76433725e-01
 4.98220809e-11]",Bayesian,0.1,100
4034,[0.         0.         0.29543371 0.70456629 0.        ],Bayesian,0.1,200
4035,"[3.02535774e-15 2.72004641e-15 0.00000000e+00 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,50
4036,"[8.32667268e-17 0.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,100
4037,"[0.00000000e+00 0.00000000e+00 6.07847106e-15 1.00000000e+00
 4.32986980e-15]",Bayesian,1.0,200
4038,"[3.27037400e-01 0.00000000e+00 5.79654288e-02 6.14997171e-01
 5.63785130e-17]",Bayesian,5.0,50
4039,"[8.87179103e-01 7.97972799e-17 0.00000000e+00 1.12820897e-01
 2.77555756e-17]",Bayesian,5.0,100
4040,"[2.77555756e-17 0.00000000e+00 1.11022302e-16 1.00000000e+00
 0.00000000e+00]",Bayesian,5.0,200
4041,"[0.00000000e+00 2.98049813e-14 2.16448792e-01 7.83551208e-01
 0.00000000e+00]",Bayesian,0.1,50
4042,"[0.00000000e+00 3.92714553e-13 5.49695194e-01 4.50304806e-01
 7.24384280e-13]",Bayesian,0.1,100
4043,[0.         0.         0.14847445 0.85152555 0.        ],Bayesian,0.1,200
4044,"[4.99600361e-16 0.00000000e+00 9.43689571e-16 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,50
4045,"[0.00000000e+00 9.43689571e-16 0.00000000e+00 1.00000000e+00
 8.04911693e-16]",Bayesian,1.0,100
4046,"[4.16333634e-16 0.00000000e+00 0.00000000e+00 1.00000000e+00
 3.74700271e-15]",Bayesian,1.0,200
4047,"[5.24997264e-01 2.82434666e-17 1.37674963e-01 3.37327773e-01
 0.00000000e+00]",Bayesian,5.0,50
4048,"[1.53051660e-01 2.77555756e-16 0.00000000e+00 8.46948340e-01
 0.00000000e+00]",Bayesian,5.0,100
4049,"[0.00000000e+00 0.00000000e+00 4.16333634e-17 1.00000000e+00
 0.00000000e+00]",Bayesian,5.0,200
4050,[0.         0.         0.35499799 0.64500201 0.        ],Bayesian,0.1,50
4051,"[3.54255642e-12 4.05210010e-12 1.26840548e-01 8.73159452e-01
 5.08560003e-12]",Bayesian,0.1,100
4052,"[1.07482655e-11 1.15971588e-11 1.82777133e-01 8.17222867e-01
 1.59465630e-11]",Bayesian,0.1,200
4053,[0.         0.         0.04341814 0.95658186 0.        ],Bayesian,1.0,50
4054,"[7.49400542e-16 0.00000000e+00 3.88578059e-16 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,100
4055,"[0.00000000e+00 1.77635684e-15 2.77555756e-16 1.00000000e+00
 9.99200722e-16]",Bayesian,1.0,200
4056,"[2.99288472e-01 0.00000000e+00 0.00000000e+00 7.00711528e-01
 1.96999535e-16]",Bayesian,5.0,50
4057,"[5.76551171e-02 0.00000000e+00 4.85722573e-17 9.42344883e-01
 0.00000000e+00]",Bayesian,5.0,100
4058,"[1.84019132e-01 1.78676518e-16 0.00000000e+00 8.15980868e-01
 5.72458747e-17]",Bayesian,5.0,200
4059,[0.         0.         0.20614265 0.79385735 0.        ],Bayesian,0.1,50
4060,"[3.23777848e-11 3.42545175e-11 1.98504788e-01 8.01495212e-01
 4.12815050e-11]",Bayesian,0.1,100
4061,[0.         0.         0.09491072 0.90508928 0.        ],Bayesian,0.1,200
4062,"[6.10622664e-16 5.55111512e-17 6.10622664e-16 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,50
4063,"[1.66533454e-16 0.00000000e+00 0.00000000e+00 1.00000000e+00
 1.44328993e-15]",Bayesian,1.0,100
4064,"[0.00000000e+00 1.13797860e-15 1.74860126e-15 1.00000000e+00
 4.44089210e-15]",Bayesian,1.0,200
4065,"[4.77278122e-01 2.67581096e-16 4.33680869e-18 5.22721878e-01
 0.00000000e+00]",Bayesian,5.0,50
4066,"[5.27833239e-01 0.00000000e+00 7.61109925e-17 4.72166761e-01
 1.10588622e-16]",Bayesian,5.0,100
4067,"[9.36750677e-17 9.88792381e-17 1.84531210e-16 1.00000000e+00
 3.12683907e-16]",Bayesian,5.0,200
4068,"[1.24622535e-12 3.59376418e-12 1.00000000e+00 0.00000000e+00
 6.15524298e-12]",Bayesian,0.1,50
4069,"[1.08234467e-12 3.35652020e-12 2.46046255e-01 7.53953745e-01
 6.43523065e-12]",Bayesian,0.1,100
4070,"[5.86949574e-12 6.28732030e-12 6.48298315e-02 9.35170168e-01
 8.49825946e-12]",Bayesian,0.1,200
4071,"[8.93120730e-15 8.03952157e-15 9.04268331e-02 9.09573167e-01
 1.37171649e-14]",Bayesian,1.0,50
4072,[0.         0.         0.13365603 0.86634397 0.        ],Bayesian,1.0,100
4073,[0. 0. 0. 1. 0.],Bayesian,1.0,200
4074,"[5.51668759e-01 2.10552062e-16 5.37764278e-17 4.48331241e-01
 0.00000000e+00]",Bayesian,5.0,50
4075,"[1.31730518e-01 0.00000000e+00 1.17961196e-16 8.68269482e-01
 0.00000000e+00]",Bayesian,5.0,100
4076,[0.0346297 0.        0.        0.9653703 0.       ],Bayesian,5.0,200
4077,"[3.55743213e-13 2.79809509e-12 0.00000000e+00 1.00000000e+00
 5.64559510e-12]",Bayesian,0.1,50
4078,"[9.02713688e-13 3.19339693e-12 3.64908660e-01 6.35091340e-01
 5.88548324e-12]",Bayesian,0.1,100
4079,[0.         0.         0.54739885 0.45260115 0.        ],Bayesian,0.1,200
4080,"[1.62511253e-14 1.93540098e-14 3.48519443e-02 9.65148056e-01
 3.23317460e-14]",Bayesian,1.0,50
4081,"[8.60422844e-16 0.00000000e+00 1.94289029e-16 1.00000000e+00
 7.77156117e-16]",Bayesian,1.0,100
4082,"[1.94289029e-16 0.00000000e+00 1.66533454e-16 1.00000000e+00
 2.35922393e-15]",Bayesian,1.0,200
4083,"[2.91083764e-01 0.00000000e+00 1.21430643e-17 7.08916236e-01
 4.33680869e-17]",Bayesian,5.0,50
4084,"[1.12426659e-01 0.00000000e+00 2.56739074e-16 8.87573341e-01
 0.00000000e+00]",Bayesian,5.0,100
4085,"[2.86973116e-01 5.72458747e-17 0.00000000e+00 7.13026884e-01
 6.86950496e-16]",Bayesian,5.0,200
4086,"[3.02818886e-11 3.36750341e-11 1.61272870e-01 8.38727130e-01
 4.36953597e-11]",Bayesian,0.1,50
4087,[0.         0.         0.27520165 0.72479835 0.        ],Bayesian,0.1,100
4088,[0.         0.         0.07298361 0.92701639 0.        ],Bayesian,0.1,200
4089,"[0.00000000e+00 0.00000000e+00 3.99680289e-15 1.00000000e+00
 8.02136135e-15]",Bayesian,1.0,50
4090,"[0.00000000e+00 3.33066907e-16 0.00000000e+00 1.00000000e+00
 4.71844785e-15]",Bayesian,1.0,100
4091,"[4.47905058e-15 7.98824476e-15 2.68182083e-02 9.73181792e-01
 3.80647987e-15]",Bayesian,1.0,200
4092,"[3.70373005e-02 0.00000000e+00 1.49186219e-16 9.62962699e-01
 2.49800181e-16]",Bayesian,5.0,50
4093,"[7.25939948e-01 3.12250226e-17 0.00000000e+00 2.74060052e-01
 0.00000000e+00]",Bayesian,5.0,100
4094,"[1.37043155e-16 1.42247325e-16 2.30718222e-16 1.00000000e+00
 0.00000000e+00]",Bayesian,5.0,200
4095,"[7.10870324e-15 0.00000000e+00 6.11810311e-01 3.88189689e-01
 0.00000000e+00]",Bayesian,0.1,50
4096,"[0.00000000e+00 0.00000000e+00 1.10100817e-12 1.00000000e+00
 0.00000000e+00]",Bayesian,0.1,100
4097,"[1.89752481e-11 2.06738427e-11 1.65510324e-01 8.34489676e-01
 2.62072829e-11]",Bayesian,0.1,200
4098,"[3.05311332e-16 6.38378239e-16 0.00000000e+00 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,50
4099,"[0.00000000e+00 3.33066907e-16 2.22044605e-16 1.00000000e+00
 3.44169138e-15]",Bayesian,1.0,100
4100,"[0.00000000e+00 0.00000000e+00 8.04911693e-16 1.00000000e+00
 1.38777878e-15]",Bayesian,1.0,200
4101,"[2.56739074e-16 0.00000000e+00 0.00000000e+00 1.00000000e+00
 2.15105711e-16]",Bayesian,5.0,50
4102,"[1.40473246e-01 0.00000000e+00 3.46944695e-17 8.59526754e-01
 0.00000000e+00]",Bayesian,5.0,100
4103,"[4.02700417e-01 3.46944695e-17 3.53883589e-16 5.97299583e-01
 2.15973073e-16]",Bayesian,5.0,200
4104,"[3.55431835e-13 7.06906984e-12 5.56928888e-01 4.43071112e-01
 1.42666233e-11]",Bayesian,0.1,50
4105,[0.         0.         0.32156416 0.67843584 0.        ],Bayesian,0.1,100
4106,"[0.00000000e+00 1.65822269e-14 2.61644117e-01 7.38355883e-01
 0.00000000e+00]",Bayesian,0.1,200
4107,"[0.00000000e+00 2.05391260e-15 6.77236045e-15 1.00000000e+00
 1.03805853e-14]",Bayesian,1.0,50
4108,"[0.00000000e+00 5.55111512e-16 0.00000000e+00 1.00000000e+00
 2.77555756e-16]",Bayesian,1.0,100
4109,"[4.44089210e-16 0.00000000e+00 2.19269047e-15 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,200
4110,"[0.00000000e+00 0.00000000e+00 4.16333634e-17 1.00000000e+00
 9.92261828e-16]",Bayesian,5.0,50
4111,"[2.20414388e-01 1.54390389e-16 9.02056208e-17 7.79585612e-01
 6.93889390e-18]",Bayesian,5.0,100
4112,"[3.51792287e-01 1.88217497e-16 0.00000000e+00 6.48207713e-01
 2.51534904e-17]",Bayesian,5.0,200
4113,"[8.05073131e-12 8.24293069e-12 1.54071738e-01 8.45928262e-01
 1.02299887e-11]",Bayesian,0.1,50
4114,"[0.00000000e+00 0.00000000e+00 1.81546445e-12 1.00000000e+00
 0.00000000e+00]",Bayesian,0.1,100
4115,"[1.61086564e-11 1.73206666e-11 4.02855305e-02 9.59714469e-01
 2.21060048e-11]",Bayesian,0.1,200
4116,"[9.43689571e-16 1.38777878e-15 0.00000000e+00 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,50
4117,"[1.66533454e-16 6.10622664e-16 2.22044605e-16 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,100
4118,"[2.13717932e-15 0.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,200
4119,"[4.52792462e-01 1.64798730e-16 0.00000000e+00 5.47207538e-01
 0.00000000e+00]",Bayesian,5.0,50
4120,"[0.00000000e+00 1.45716772e-16 0.00000000e+00 1.00000000e+00
 3.67761377e-16]",Bayesian,5.0,100
4121,"[8.91691325e-02 2.63677968e-16 1.42247325e-16 9.10830867e-01
 0.00000000e+00]",Bayesian,5.0,200
4122,"[3.19994031e-13 5.57720536e-13 0.00000000e+00 1.00000000e+00
 1.32865940e-12]",Bayesian,0.1,50
4123,"[4.95701217e-13 5.07235405e-12 5.20943062e-01 4.79056938e-01
 9.61240187e-12]",Bayesian,0.1,100
4124,"[1.02993502e-11 1.08901705e-11 3.48414201e-02 9.65158580e-01
 1.43087356e-11]",Bayesian,0.1,200
4125,"[5.55111512e-17 0.00000000e+00 8.32667268e-16 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,50
4126,"[0.00000000e+00 2.24072482e-15 1.83345877e-01 8.16654123e-01
 1.61915781e-15]",Bayesian,1.0,100
4127,"[0.00000000e+00 0.00000000e+00 9.43689571e-16 1.00000000e+00
 1.41553436e-15]",Bayesian,1.0,200
4128,"[0.00000000e+00 0.00000000e+00 2.77555756e-17 1.00000000e+00
 2.77555756e-16]",Bayesian,5.0,50
4129,"[3.49969354e-01 9.28077060e-17 0.00000000e+00 6.50030646e-01
 0.00000000e+00]",Bayesian,5.0,100
4130,"[9.71445147e-17 4.85722573e-17 0.00000000e+00 1.00000000e+00
 0.00000000e+00]",Bayesian,5.0,200
4131,[0.         0.         0.57957086 0.42042914 0.        ],Bayesian,0.1,50
4132,"[0.00000000e+00 0.00000000e+00 1.00532915e-11 1.00000000e+00
 0.00000000e+00]",Bayesian,0.1,100
4133,"[0.00000000e+00 0.00000000e+00 5.51392265e-12 1.00000000e+00
 0.00000000e+00]",Bayesian,0.1,200
4134,"[7.49400542e-16 0.00000000e+00 0.00000000e+00 1.00000000e+00
 2.08166817e-15]",Bayesian,1.0,50
4135,"[5.27355937e-16 7.21644966e-16 0.00000000e+00 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,100
4136,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 5.24580379e-15]",Bayesian,1.0,200
4137,"[5.47724010e-01 2.05984860e-16 1.24220069e-01 3.28055921e-01
 3.88862662e-16]",Bayesian,5.0,50
4138,"[1.97758476e-16 0.00000000e+00 3.98986399e-17 1.00000000e+00
 4.16333634e-17]",Bayesian,5.0,100
4139,"[4.29991913e-01 2.99022959e-16 0.00000000e+00 5.70008087e-01
 1.55691432e-16]",Bayesian,5.0,200
4140,"[0.00000000e+00 0.00000000e+00 7.84095011e-13 1.00000000e+00
 0.00000000e+00]",Bayesian,0.1,50
4141,"[1.28834657e-11 1.29422420e-11 1.72614890e-02 9.82738511e-01
 1.81544575e-11]",Bayesian,0.1,100
4142,[0.         0.         0.36864882 0.63135118 0.        ],Bayesian,0.1,200
4143,"[0.00000000e+00 8.04911693e-16 9.71445147e-16 1.00000000e+00
 4.44089210e-16]",Bayesian,1.0,50
4144,[0.         0.         0.14625738 0.85374262 0.        ],Bayesian,1.0,100
4145,"[1.19348975e-15 0.00000000e+00 1.38777878e-16 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,200
4146,"[1.66533454e-16 3.50414142e-16 8.67361738e-17 1.00000000e+00
 0.00000000e+00]",Bayesian,5.0,50
4147,"[2.22044605e-16 0.00000000e+00 0.00000000e+00 1.00000000e+00
 1.11022302e-16]",Bayesian,5.0,100
4148,"[9.50413803e-02 0.00000000e+00 1.38777878e-16 9.04958620e-01
 6.59194921e-17]",Bayesian,5.0,200
4149,"[1.24753148e-12 3.66061776e-12 1.92241104e-01 8.07758896e-01
 6.80366589e-12]",Bayesian,0.1,50
4150,"[2.51970974e-11 2.77521212e-11 7.38386707e-02 9.26161329e-01
 3.45259902e-11]",Bayesian,0.1,100
4151,"[0.00000000e+00 2.98715587e-12 5.53394319e-01 4.46605681e-01
 5.65315963e-12]",Bayesian,0.1,200
4152,"[0.00000000e+00 5.55111512e-17 0.00000000e+00 1.00000000e+00
 1.16018306e-14]",Bayesian,1.0,50
4153,[0.0000000e+00 0.0000000e+00 0.0000000e+00 1.0000000e+00 6.7168493e-15],Bayesian,1.0,100
4154,"[6.38378239e-16 0.00000000e+00 9.15933995e-16 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,200
4155,"[0.00000000e+00 0.00000000e+00 5.20417043e-18 1.00000000e+00
 0.00000000e+00]",Bayesian,5.0,50
4156,"[2.01227923e-16 3.12250226e-16 0.00000000e+00 1.00000000e+00
 0.00000000e+00]",Bayesian,5.0,100
4157,"[4.10387714e-01 3.36536354e-16 0.00000000e+00 5.89612286e-01
 0.00000000e+00]",Bayesian,5.0,200
4158,"[0.00000000e+00 0.00000000e+00 2.10623186e-12 1.00000000e+00
 0.00000000e+00]",Bayesian,0.1,50
4159,"[1.23992483e-12 3.89022148e-12 0.00000000e+00 1.00000000e+00
 7.45359330e-12]",Bayesian,0.1,100
4160,"[5.33711964e-13 1.69136927e-12 0.00000000e+00 1.00000000e+00
 3.26341731e-12]",Bayesian,0.1,200
4161,"[0.00000000e+00 0.00000000e+00 8.32667268e-17 1.00000000e+00
 8.35442826e-15]",Bayesian,1.0,50
4162,"[1.24900090e-15 0.00000000e+00 1.11022302e-15 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,100
4163,"[1.36002321e-15 0.00000000e+00 1.30451205e-15 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,200
4164,"[0.00000000e+00 0.00000000e+00 4.44089210e-16 1.00000000e+00
 1.99146255e-15]",Bayesian,5.0,50
4165,"[1.43531352e-01 0.00000000e+00 1.66533454e-16 8.56468648e-01
 3.33066907e-16]",Bayesian,5.0,100
4166,"[1.94289029e-16 9.02056208e-17 0.00000000e+00 1.00000000e+00
 0.00000000e+00]",Bayesian,5.0,200
4167,"[4.78989848e-11 4.82285218e-11 1.88291807e-01 8.11708193e-01
 5.68001100e-11]",Bayesian,0.1,50
4168,"[1.16523458e-12 3.54385965e-12 0.00000000e+00 1.00000000e+00
 6.57429666e-12]",Bayesian,0.1,100
4169,"[1.63253693e-12 3.92066460e-12 2.93654253e-01 7.06345747e-01
 4.77392226e-12]",Bayesian,0.1,200
4170,"[2.54657542e-14 1.99914556e-14 1.11708246e-01 8.88291754e-01
 3.18025576e-14]",Bayesian,1.0,50
4171,"[7.60565250e-15 4.96555797e-15 5.16083136e-02 9.48391686e-01
 1.18808534e-14]",Bayesian,1.0,100
4172,"[0.00000000e+00 0.00000000e+00 1.91513472e-15 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,200
4173,"[4.35415592e-16 0.00000000e+00 0.00000000e+00 1.00000000e+00
 9.28077060e-17]",Bayesian,5.0,50
4174,"[1.53118230e-01 9.02056208e-17 7.63278329e-17 8.46881770e-01
 9.71445147e-17]",Bayesian,5.0,100
4175,"[6.72556486e-02 7.63278329e-17 6.24500451e-17 9.32744351e-01
 1.52655666e-16]",Bayesian,5.0,200
4176,[0.         0.         0.82012978 0.17987022 0.        ],Bayesian,0.1,50
4177,"[0.00000000e+00 0.00000000e+00 5.76810821e-12 1.00000000e+00
 0.00000000e+00]",Bayesian,0.1,100
4178,[0.         0.         0.05664245 0.94335755 0.        ],Bayesian,0.1,200
4179,"[1.94289029e-15 1.69309011e-15 0.00000000e+00 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,50
4180,"[5.09923372e-15 0.00000000e+00 7.70196682e-02 9.22980332e-01
 0.00000000e+00]",Bayesian,1.0,100
4181,"[6.38378239e-16 0.00000000e+00 9.15933995e-16 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,200
4182,"[8.32667268e-17 0.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00]",Bayesian,5.0,50
4183,"[0.00000000e+00 3.46944695e-17 0.00000000e+00 1.00000000e+00
 0.00000000e+00]",Bayesian,5.0,100
4184,"[4.95162985e-02 1.17961196e-16 1.38777878e-17 9.50483702e-01
 1.24900090e-16]",Bayesian,5.0,200
4185,[0.        0.        0.5461363 0.4538637 0.       ],Bayesian,0.1,50
4186,"[1.35430556e-12 3.89005494e-12 0.00000000e+00 1.00000000e+00
 7.66656183e-12]",Bayesian,0.1,100
4187,"[4.03112107e-13 7.78300273e-13 2.31296990e-01 7.68703010e-01
 1.72063199e-12]",Bayesian,0.1,200
4188,[0.         0.         0.07865671 0.92134329 0.        ],Bayesian,1.0,50
4189,"[3.95229428e-14 3.21662860e-14 7.97582448e-02 9.20241755e-01
 5.49470922e-14]",Bayesian,1.0,100
4190,"[1.83186799e-15 0.00000000e+00 1.60982339e-15 1.00000000e+00
 6.38378239e-16]",Bayesian,1.0,200
4191,[0.08675757 0.         0.         0.91324243 0.        ],Bayesian,5.0,50
4192,"[0.00000000e+00 0.00000000e+00 7.58941521e-19 1.00000000e+00
 2.04697370e-16]",Bayesian,5.0,100
4193,"[9.51503095e-02 2.94902991e-17 0.00000000e+00 9.04849691e-01
 2.20309881e-16]",Bayesian,5.0,200
4194,"[4.93993735e-13 1.27764466e-12 0.00000000e+00 1.00000000e+00
 2.82479595e-12]",Bayesian,0.1,50
4195,"[1.50796042e-13 5.10758102e-13 0.00000000e+00 1.00000000e+00
 1.01346709e-12]",Bayesian,0.1,100
4196,[0.         0.         0.27868197 0.72131803 0.        ],Bayesian,0.1,200
4197,"[2.41473508e-15 0.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,50
4198,"[3.44169138e-15 0.00000000e+00 1.44328993e-15 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,100
4199,"[2.24820162e-15 6.93889390e-16 0.00000000e+00 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,200
4200,"[2.49800181e-16 3.67761377e-16 1.11022302e-16 1.00000000e+00
 0.00000000e+00]",Bayesian,5.0,50
4201,"[4.47479659e-01 1.84856470e-16 4.83554169e-17 5.52520341e-01
 6.38052979e-17]",Bayesian,5.0,100
4202,"[1.41126682e-01 0.00000000e+00 7.63278329e-17 8.58873318e-01
 0.00000000e+00]",Bayesian,5.0,200
4203,"[2.20934382e-14 2.86992652e-14 0.00000000e+00 1.00000000e+00
 9.61730695e-14]",Bayesian,0.1,50
4204,"[0.00000000e+00 0.00000000e+00 4.33569847e-13 1.00000000e+00
 0.00000000e+00]",Bayesian,0.1,100
4205,"[1.11580935e-11 2.21177609e-11 2.73701047e-01 7.26298953e-01
 3.01006705e-11]",Bayesian,0.1,200
4206,"[6.13358851e-15 4.72855301e-15 1.48861958e-01 8.51138042e-01
 6.35992895e-15]",Bayesian,1.0,50
4207,"[1.02695630e-15 7.49400542e-16 0.00000000e+00 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,100
4208,"[0.00000000e+00 3.33066907e-16 4.99600361e-16 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,200
4209,"[5.19742806e-01 0.00000000e+00 0.00000000e+00 4.80257194e-01
 2.28983499e-16]",Bayesian,5.0,50
4210,"[1.31094434e-01 0.00000000e+00 7.28583860e-17 8.68905566e-01
 0.00000000e+00]",Bayesian,5.0,100
4211,"[2.56829164e-01 0.00000000e+00 5.37764278e-17 7.43170836e-01
 1.26634814e-16]",Bayesian,5.0,200
4212,"[1.41708477e-12 5.05050109e-12 3.31427029e-01 6.68572971e-01
 7.87706804e-12]",Bayesian,0.1,50
4213,"[5.58373369e-11 5.88329055e-11 1.41959822e-01 8.58040178e-01
 6.89449317e-11]",Bayesian,0.1,100
4214,"[1.90982065e-12 2.69906541e-12 1.71955635e-01 8.28044365e-01
 2.93068426e-12]",Bayesian,0.1,200
4215,[0.0000000e+00 0.0000000e+00 4.4408921e-16 1.0000000e+00 3.5249581e-15],Bayesian,1.0,50
4216,"[2.81474237e-14 2.57045005e-14 3.00414534e-02 9.69958547e-01
 4.03293116e-14]",Bayesian,1.0,100
4217,"[8.32667268e-17 9.15933995e-16 0.00000000e+00 1.00000000e+00
 2.33146835e-15]",Bayesian,1.0,200
4218,"[2.47510523e-01 0.00000000e+00 5.55111512e-17 7.52489477e-01
 0.00000000e+00]",Bayesian,5.0,50
4219,"[1.05045329e-01 7.11236625e-17 3.55618313e-17 8.94954671e-01
 0.00000000e+00]",Bayesian,5.0,100
4220,"[1.92047881e-01 3.81639165e-17 0.00000000e+00 8.07952119e-01
 3.29597460e-17]",Bayesian,5.0,200
4221,"[5.06417867e-12 8.71244707e-12 2.03832225e-01 7.96167775e-01
 1.47473814e-11]",Bayesian,0.1,50
4222,[0.         0.         0.36229929 0.63770071 0.        ],Bayesian,0.1,100
4223,"[3.19581969e-11 3.46197088e-11 1.06654237e-01 8.93345763e-01
 4.40672746e-11]",Bayesian,0.1,200
4224,[0. 0. 0. 1. 0.],Bayesian,1.0,50
4225,"[2.49800181e-16 0.00000000e+00 0.00000000e+00 1.00000000e+00
 5.05151476e-15]",Bayesian,1.0,100
4226,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 1.16573418e-14]",Bayesian,1.0,200
